class,species,common.name,latitude,longitute,temp,NPP,daylength,mass.g,FMR.kJ.day,diet,reference,notes
Birds,Parus montanus,Willow tit,67,21,-11.3,2.8071,3.115090309,11.52,47.05,carn,17,
Birds,Parus montanus,Willow tit,59.9,17.6,-3.3,3.46226,5.692730032,11.31,41.22,carn,"108, 84",
Birds,Pelecanoides georgicus,South Georgia diving petrel,56.58333333,-169.5833333,7.366666667,,16.93865511,109,464,carn,"108, 124",
Birds,Pelecanoides urinatrix,Common diving petrel,56.58333333,-169.5833333,7.366666667,,16.93865511,137,557,carn,"108, 124",
Birds,Phaethon lepturus,White-tailed tropicbird,18,-65,27.13333333,,13.07100194,370,777,carn,"108, 113",
Birds,Phainopepla nitens,Phainopepla,33.75,116.4,20.23333333,10.3565,13.7379592,22.7,79.1,omn,"108, 152",
Birds,Phalacrocorax carbo sinensis,great cormorant,47.9,12.25,-3.55,3.50871,10.8163846,2122,2094,carn,71,
Birds,Phalaenoptilus nuttallii,Poorwill,49.3,-119.5,13.55,2.36968,15.66942681,51.15,55.315,carn,"108, 140",
Birds,Progne subis,Purple martin,47,-94.5,18.6,5.14548,15.65398984,49,163,carn,"108, 143",
Birds,Prunella modularis,Dunnocky,56,-4,3,3.12387,7.294691874,21.2,86,carn,"108, 12",
Birds,Ptychoramphus aleuticus,Cassin's auklet,37.06666667,-123,14.35,,14.52244285,174,413,carn,"108, 63",
Birds,Puffinus pacificus,Wedge-tailed shearwater,24,-166,24.8,,13.47185134,384,613.7,carn,"108, 37",
Birds,Pygoscelis adeliae,Adelie penguin,-64.75,-64,1,,19.42835529,3966.666667,3825.458333,carn,"108, 19",
Birds,Pygoscelis adeliae,Adelie penguin,-63.4,-56.98333333,0.05,,19.77309143,4038.888889,4186.325109,carn,"108, 29",
Birds,Pygoscelis adeliae,Adelie penguin,-64.75,-64,1.4,,19.42835529,3810,3896,carn,"108, 105",
Birds,Pygoscelis antarctica,Chinstrap penguin,-63,-60.7,0.75,,19.5649457,3806,4720,carn,"108, 87",
Birds,Pygoscelis papua,Gentoo penguin,-54,-38,4.114285714,,16.32462153,6093.548387,3681.95,carn,30,
Birds,Pygoscelis papua,Gentoo penguin,-53,74,1.76,,,6200,4156.164384,carn,"108, 45",
Birds,Pyrrhula pyrrhula,Bullfinch,51,-1.5,4,4.2229,8.164783876,25.1,88,herb,"108, 12",
Birds,Rissa tridactyla,Kittiwake,78.9,11.9,5.5,,24,364.6,823.76,carn,41,
Birds,Rissa tridactyla,Black-legged kittiwake,76.5,25,4.6,,24,386,795,carn,"108, 42",
Birds,Rissa tridactyla,Kittiwake,70.36666667,31,6.75,,24,404.2,904.05,carn,141,
Birds,Sialia mexicana,Western bluebird,33.75,-116.9,12.7,0.96935,14.0572082,27.4,95,carn,"108, 82",
Birds,Spheniscus demersus,Jackass penguin,-33,16.9,14.6,,10.72472538,3170,1950,carn,"108, 109",
Birds,Sterna fuscata,Sooty tern,24,-166,23.05,,12.88116333,187,241,carn,"108, 39",
Birds,Sterna hirundo,Common tern,53.75,8,14.7,,16.7881361,127,343,carn,"108, 73",
Birds,Sterna paradisaea,Arctic tern,55.36666667,-2.416666667,14.6,,16.68376716,101,335,carn,"108, 144",
Birds,Sturnus vulgaris,Starling,39.9,-75.5,16.4,6.82677,14.18579704,78.7,269,omn,"108, 123",
Birds,Sula bassanus (Morus bassanus),Northern gannet,49.9,-53.25,12.83333333,,13.62008798,3210,4870,carn,"108, 9",
Birds,Sula sula,Red-footed booby,16.75,-169.5,25.46666667,,12.38240386,1070,1220,carn,"108, 6",
Birds,Thalurania colombica,Crowned woodnymph,10.43333333,-84,24,,12.55957957,4.9,37.9,nect,"108, 155",
Birds,Troglodytes aedon,House wren,-25,20,14.925,1.22194,10.57332871,10.6,60.8,carn,"108, 35",
Birds,Turdoides squamiceps,Arabian babbler,30.75,35.25,23.85,,10.03531667,72.488,120.59,omn,4,
Birds,Turdus merula,Blackbird,56,-4,3,3.12387,7.294691874,96,179,carn,"108, 12",
Birds,Uria lomvia,Thick-billed murre,63.4,-171.8166667,7.4,,17.63942915,834,1480,carn,"108, 65",
Mammals,Acomys cahirinus,Common spiny mouse,31.46666667,35.38333333,17.6,,12.29448814,38.3,51.8,omn,"108, 32",
Mammals,Acomys russatus,Golden spiny mouse,31.46666667,35.38333333,17.6,,12.29448814,45,47.8,omn,"108, 32",
Mammals,Aepyrpimnus rufescens,Rufous rat kangaroo,-28.88333333,152.3833333,18.33333333,7.36,,2860,1430,herb,"108, 148",
Mammals,Aloutta palliata,Mantled howler monkey,9.15,-79.85,25.9,12.8881,11.60538209,7330,2580,herb,"108, 103",
Mammals,Ammospermophilus leucurus,Antelope ground squirrel,35,-117,21.76666667,0.91741,13.8197959,96.1,94.178,omn,"108, 69",
Mammals,Ammospermophilus leucurus,Antelope ground squirrel,35,-117,6.9,0.91741,9.888799425,96.1,82.646,omn,"108, 70",
Mammals,Anoura caudifer,Flower-visiting bat,10,-67,23.9,10.5932,12.23542867,11.5,51.9,nect,"108, 145",
Mammals,Antechinus stuartii,Brown antechinus,-36,149,5.9,,9.841537243,22.8,54.0588,carn,"108, 34",
Mammals,Antechinus stuartii,Brown antechinus,-36,149,17.4,,14.11120058,16.2,45.3924,carn,"108, 56",
Mammals,Antechinus stuartii,Brown antechinus,-36,149,16.4,,14.33092216,27.75,86.4972,carn,"108, 56",
Mammals,Antechinus stuartii,Brown antechinus,-36,149,11.275,,,33,86.4,carn,"108, 56",
Mammals,Antechinus stuartii,Brown antechinus,-36,149,5.4,,10.62391486,39.45,100.525825,carn,"108, 56",
Mammals,Antechinus swainsonii,Broad-footed marsup. Mouse/ Dusky antechinus,-36.5,148.4,8.866666794,,,62.6,150,carn,"108, 58",
Mammals,Antidorcas marsupialis,Springbok,-26,21,19.75,1.47194,,43300,24100,herb,"108, 100",
Mammals,Apodemus sylvaticus,Wood mouse,57.5,-2.5,7.375,3.04032,,20.46,67.9,omn,21,
Mammals,Arctocephalus galapagoensis,Galapagos fur seal,-0.466666667,-91.61666667,21.75,11.5948,12.00285706,37400,4780,carn,"108, 26",
Mammals,Arctocephalus gazella,Antarctic fur seal,-54,-38.03333333,4.766666667,0.84419,16.32462153,36800,19363.2768,carn,"108, 5",
Mammals,Arctocephalus gazella,Antarctic fur seal,-54,-38.03333333,4.766666667,0.84419,16.32462153,2660,1634.04864,carn,26,
Mammals,Arctocephalus gazella,Antarctic fur seal,-54,-38.03333333,4.766666667,0.84419,16.32462153,34900,22700,carn,"108, 22",
Mammals,Arvicola terrestris,Water vole,47,7,9.75,3.09194,,85.8,119,herb,"108, 59",
Mammals,Bassariscus astutus,Ring-tailed cat,34,-112,26.7,1.12839,13.32505729,752,472,carn,"108, 20",
Mammals,Bettongia lesueur,Boodie/ Burrowing Bettong,-20.75,115.3333333,25.5,,13.10145323,720,442,herb,98,
Mammals,Bradypus variegatus,Three-toed sloth,9.15,-79.85,25.9,12.8881,11.60538209,4150,545,herb,"108, 104",
